"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"250","Jeremy Kerley","SF","WR89","11","161","300","225.3","36.1","335.0","+85.0"
"251","Wendell Smallwood","PHI","RB75","10","155","284","240.5","37.4","232.0","-19.0"
"252","Terrance Williams","DAL","WR90","6","156","281","227.4","34.3","321.0","+69.0"
"253","Eli Rogers","PIT","WR91","9","123","298","232.8","34.4","347.0","+94.0"
"254","Chris Ivory","JAC","RB76","8","148","278","237.6","34.4","241.0","-13.0"
"255","Sebastian Janikowski","OAK","K13","10","150","272","218.8","22.4","189.0","-66.0"
"256","Tampa Bay Buccaneers","","DST16","11","158","260","223.4","28.8","273.0","+17.0"
"257","Jared Goff","LAR","QB29","8","147","316","225.0","27.9","295.0","+38.0"
"258","Jaron Brown","ARI","WR92","8","125","265","198.0","37.4","292.0","+34.0"
"259","Orleans Darkwa","NYG","RB77","8","141","282","221.7","50.8","308.0","+49.0"
"260","Jeremy McNichols","TB","RB78","11","166","282","229.4","34.0","242.0","-18.0"
"261","Los Angeles Chargers","","DST17","9","167","266","223.9","28.0","229.0","-32.0"
"262","Jermaine Gresham","ARI","TE33","8","146","311","233.6","35.0","350.0","+88.0"
"263","Caleb Sturgis","PHI","K14","10","158","275","224.0","32.7","253.0","-10.0"
"264","Alfred Morris","DAL","RB79","6","162","284","228.5","40.8","230.0","-34.0"
"265","Zach Zenner","DET","RB80","7","161","291","237.3","34.2","224.0","-41.0"
"266","Graham Gano","CAR","K15","11","153","292","226.9","24.2","262.0","-4.0"
"267","Marquise Goodwin","SF","WR93","11","139","317","233.7","41.3","301.0","+34.0"
"268","JuJu Smith-Schuster","PIT","WR94","9","163","279","238.8","35.7","265.0","-3.0"
"269","Mike Glennon","CHI","QB30","9","150","312","229.6","26.3","259.0","-10.0"
"270","Brandon McManus","DEN","K16","5","151","284","223.1","24.7","239.0","-31.0"
"271","Tennessee Titans","","DST18","8","166","266","216.8","33.5","243.0","-28.0"
"272","Dion Sims","CHI","TE34","9","169","269","218.5","39.0","",""
"273","Kendall Wright","CHI","WR95","9","153","315","234.1","30.2","313.0","+40.0"
"274","Erik Swoope","IND","TE35","11","149","300","242.3","34.2","290.0","+16.0"
"275","Oakland Raiders","","DST19","10","147","271","220.4","22.6","274.0","-1.0"
"276","Travis Benjamin","LAC","WR96","9","147","314","238.7","32.4","214.0","-62.0"
"277","Atlanta Falcons","","DST20","5","163","271","233.3","27.7","190.0","-87.0"
"278","Tarik Cohen","CHI","RB81","9","128","280","223.0","51.7","",""
"279","Miami Dolphins","","DST21","11","165","278","237.7","26.0","306.0","+27.0"
"280","Mitch Trubisky","CHI","QB31","9","156","283","231.5","41.0","266.0","-14.0"
"281","Green Bay Packers","","DST22","8","172","285","218.8","21.6","289.0","+8.0"
"282","Elijah Hood","OAK","RB82","10","130","290","243.2","47.4","297.0","+15.0"
"283","Wayne Gallman","NYG","RB83","8","171","288","246.6","34.7","",""
"284","Javorius Allen","BAL","RB84","10","129","287","257.4","47.5","",""
"285","DeShone Kizer","CLE","QB32","9","148","329","232.2","36.4","319.0","+34.0"
"286","Chandler Catanzaro","NYJ","K17","11","182","278","219.7","29.1","288.0","+2.0"
"287","Buffalo Bills","","DST23","6","161","277","235.3","25.9","268.0","-19.0"
"288","Tom Savage","HOU","QB33","7","149","260","240.3","29.5","307.0","+19.0"
"289","A.J. Derby","DEN","TE36","5","168","302","230.8","31.4","",""
"290","Charone Peake","NYJ","WR97","11","166","287","240.6","36.7","",""
"291","Branden Oliver","LAC","RB85","9","159","319","246.5","37.5","244.0","-47.0"
"292","Michael Floyd","MIN","WR98","9","146","276","241.0","29.5","334.0","+42.0"
"293","Aaron Jones","GB","RB86","8","154","278","243.5","37.1","258.0","-35.0"
"294","Seth Roberts","OAK","WR99","10","182","279","232.4","35.1","338.0","+44.0"
"295","Gerald Everett","LAR","TE37","8","182","272","232.9","27.6","286.0","-9.0"
"296","Andre Ellington","ARI","RB87","8","176","279","244.3","33.2","",""
"297","New York Jets","","DST24","11","187","281","223.2","30.0","279.0","-18.0"
"298","Jeremy Langford","CHI","RB88","9","170","289","257.7","30.8","269.0","-29.0"
"299","Nick Novak","HOU","K18","7","176","265","230.6","28.1","314.0","+15.0"
"300","Chester Rogers","IND","WR100","11","166","225","198.3","24.4","257.0","-43.0"
"301","Jimmy Garoppolo","NE","QB34","9","167","249","225.0","28.2","302.0","+1.0"
"302","Kenyan Drake","MIA","RB89","11","175","277","236.4","31.5","217.0","-85.0"
"303","Josh McCown","NYJ","QB35","11","183","314","239.3","25.3","260.0","-43.0"
"304","Chad Williams","ARI","WR101","8","180","282","240.1","37.2","",""
"305","Taywan Taylor","TEN","WR102","8","173","280","252.7","26.9","",""
"306","Blair Walsh","SEA","K19","6","186","280","240.7","24.3","227.0","-79.0"
"307","Nick Folk","TB","K20","11","175","266","230.3","39.7","",""
"308","Wendall Williams","HOU","WR103","7","176","267","232.3","40.2","",""
"309","Washington Redskins","","DST25","5","179","251","220.4","25.7","317.0","+8.0"
"310","Phil Dawson","ARI","K21","8","180","265","231.6","25.0","303.0","-7.0"
"311","Chris Johnson","ARI","RB90","8","180","284","238.3","43.4","",""
"312","Benny Cunningham","CHI","RB91","9","181","287","263.1","29.3","310.0","-2.0"
"313","Ladarius Green","FA","TE38","","184","270","236.7","29.3","294.0","-19.0"
"314","Jordan Leggett","NYJ","TE39","11","185","274","235.0","31.7","",""
"315","Tajae Sharpe","TEN","WR104","8","191","279","237.1","28.7","275.0","-40.0"
"316","Vernon Davis","WAS","TE40","5","194","297","244.8","24.8","327.0","+11.0"
"317","Josh Gordon","CLE","WR105","9","186","238","214.3","21.5","278.0","-39.0"
"318","Dontrelle Inman","LAC","WR106","9","188","308","245.1","32.8","326.0","+8.0"
"319","Seth DeValve","CLE","TE41","9","190","263","238.8","23.2","",""
"320","Alfred Blue","HOU","RB92","7","190","283","248.0","41.3","",""
